world_cup_year,ranking_date,team_count,source_revision_id,source_url,ranking_source_url
1994,1994-06-14,24,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1998,1998-05-20,32,1364001590,https://en.wikipedia.org/w/index.php?title=1998_FIFA_World_Cup&oldid=1364001590,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html
2002,2002-05-15,32,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2006,2006-05-17,32,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2010,2010-05-26,32,1363928575,https://en.wikipedia.org/w/index.php?title=2010_FIFA_World_Cup&oldid=1363928575,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/
2014,2014-06-05,32,1363796172,https://en.wikipedia.org/w/index.php?title=2014_FIFA_World_Cup&oldid=1363796172,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html
2018,2018-06-07,32,1364201186,https://en.wikipedia.org/w/index.php?title=2018_FIFA_World_Cup&oldid=1364201186,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups
2022,2022-10-06,32,1364125908,https://en.wikipedia.org/w/index.php?title=2022_FIFA_World_Cup&oldid=1364125908,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792
2026,2026-06-11,48,1364564584,https://en.wikipedia.org/w/index.php?title=2026_FIFA_World_Cup&oldid=1364564584,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944
